seed_idx,estimate
441,286878.1341191654
540,290418.0098386952
102,291305.14584658825
119,283638.6198988885
206,277531.206840315
403,290603.27615668153
737,274306.39147778845
801,272213.8223186816
886,278908.54941499844
891,285639.9408638468
908,278557.62020949455
1,286746.68091573764
62,287944.2134006819
275,284441.6965843073
400,270436.85526895185
972,295683.8698156877
457,298131.5824960191
530,286622.91775924596
860,281773.3409143235
998,282575.6512536417
196,287341.5549275853
517,275956.1499460577
673,284129.1322594327
989,273235.22600319656
28,297094.7426837059
218,283140.28589172254
404,285743.99492657743
417,272428.1801262762
563,277556.53552461765
599,286093.8006240209
728,292459.71128519566
768,283689.09834999486
805,276936.92347047664
897,299091.48319235153
984,285452.628695918
123,275278.5553008173
231,287030.34870254475
332,278790.72265649063
353,278373.0228440512
413,298236.57403461734
554,272904.24792693276
835,288460.92919349694
71,273235.4615923988
84,283192.3079893011
115,295442.82773716236
325,275897.486084551
478,296902.3476056177
551,288210.1244459009
705,283365.31257971545
146,292685.31128237443
272,266782.4194667272
338,277989.53860926494
368,271584.5913619463
396,276479.90641010593
399,299243.14777573064
730,287268.7126998546
845,282437.5377222342
37,285514.55860141537
104,284537.21466081723
160,296415.3434466509
679,290012.7087141391
830,292037.75497053657
130,289738.2703181102
181,283328.01972303214
228,282388.40953639103
466,273421.4209901244
516,275896.9096002955
549,272068.52721585095
654,276321.4691265762
707,292870.11277277046
757,280942.39399507415
771,272773.3583740605
13,283596.5851630042
34,291975.4885588213
108,290567.99702391954
311,272990.668119513
314,268239.77008256724
985,277552.23272541515
25,282702.19750028773
281,280885.81736874435
320,287723.3001699376
493,304279.4387695292
576,274491.10145853914
816,300247.83393716486
840,280757.8943259587
917,289083.20929249655
100,289400.6429378386
110,281987.3664482485
488,290336.9228525582
506,278309.80119830475
663,298097.2560365453
191,271477.0999709286
225,287881.0681987592
243,274351.98749367014
340,289353.924021729
363,283884.5797114945
473,295180.29055970605
499,294687.1925002869
523,286201.70095516584
794,275637.11257127667
902,293107.05479046406
929,287454.6879067384
57,275320.6717924626
83,276700.16857524996
426,288415.45813656336
607,282026.01392739324
718,271230.8983999276
763,279825.05773564545
